Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Pork roast,16.75,0.08333333333333333,0.0,1.8333333333333333,Low,Medium,High
Veal cutlet or steak,14.0,2.2022222222222223,0.06666666666666667,2.2222222222222223,Low,Medium,High
Bison,8.0,0.0,0.0,0.0,Low,Low,High
Raccoon,14.0,0.0,0.0,0.0,Low,Medium,High
Duck,11.2,1.248,0.08,37.8,Low,Medium,High
Dove,18.5,0.72,0.0,29.0,Low,Medium,High
Quail,15.0,0.0,0.0,70.0,Low,Medium,High
Thuringer,9.0,3.33,0.0,0.0,Low,High,High
Haddock,28.625,4.47,0.22499999999999998,21.25,Low,Low,High
Herring,85.54545454545455,4.908181818181817,0.1636363636363636,74.0,Low,Medium,High
Pompano,34.77777777777778,3.973333333333333,0.19999999999999998,41.55555555555556,Low,Medium,High
Clams,54.54545454545455,8.208181818181817,0.24545454545454543,102.9090909090909,Low,Medium,High
Salisbury steak with gravy,51.166666666666664,12.655000000000001,1.2333333333333332,33.5,Low,Medium,Medium
Stewed dried beef,16.0,3.88,0.8,8.0,Low,Medium,High
Chicken or turkey with mushroom sauce,25.0,1.84,0.1,12.0,Low,Medium,High
Chicken kiev,43.0,5.45,0.1,75.0,Low,Medium,High
Stewed corned beef,14.0,10.32,1.4,3.0,Low,Medium,Medium
Meat loaf made with ham,28.0,6.13,0.3,24.0,Low,Medium,High
Biryani with chicken,34.0,13.57,1.1,19.0,Low,Low,Medium
Chicken or turkey and rice with cream sauce,48.0,12.78,0.5,59.0,Low,Medium,Medium
Tuna noodle casserole with mushroom sauce,38.0,13.92,0.8,33.0,Low,Medium,Medium
Veal stew with potatoes and vegetables including carrots,17.0,7.07,1.3,68.0,Low,Low,Medium
Chicken or turkey chow mein or chop suey with noodles,19.0,11.15,1.5,10.0,Low,Medium,Medium
Seafood stew with potatoes and vegetables excluding carrots,36.0,5.72,0.8,41.0,Low,Low,Medium
Oyster pie,73.0,19.95,0.8,65.0,Low,Medium,Medium
Beef with vegetables including carrots,26.0,4.86,1.4,140.0,Low,Medium,Medium
Seasoned shredded soup meat,14.0,3.64,0.9,11.0,Low,Medium,High
Julienne salad,102.0,2.57,0.7,178.0,Low,Medium,Medium
Stewed gizzards,31.0,4.4,1.1,79.0,Low,Medium,High
Bacon sandwich,132.0,30.38,1.4,5.0,Low,Medium,High
Bacon and cheese sandwich,718.0,26.13,1.0,123.0,Medium,Medium,Medium
Ham sandwich,101.0,23.14,1.1,1.0,Low,Medium,Medium
Seafood salad sandwich,115.0,17.19,1.0,6.0,Low,Medium,Medium
Luncheon meat sandwich,169.0,22.91,1.3,2.0,Low,Low,Medium
Bologna and cheese sandwich,464.0,27.18,1.1,66.0,Low,Medium,Medium
Pepperoni and salami submarine sandwich,60.0,19.34,1.1,12.0,Low,Medium,Medium
Sausage and spaghetti sauce sandwich,58.0,18.88,1.0,17.0,Low,Medium,Medium
Frankfurter or hot dog sandwich,113.3578947368421,21.145578947368417,2.0705263157894747,8.305263157894737,Low,Medium,Medium
Beef with vegetables,15.0,7.540000000000001,1.8,139.5,Low,Low,Low
Chicken patty or nuggets,15.0,23.57,1.4,9.0,Medium,Medium,Medium
Chicken with noodles and cheese sauce,10.0,11.66,0.7,2.0,Low,Low,Medium
Chicken and vegetable entree with noodles,17.0,11.649999999999999,1.4,37.5,Low,Low,Medium
Chicken in mushroom sauce,18.0,11.05,1.2,138.0,Low,Low,Medium
Meat loaf with potatoes,46.0,10.1,1.2,32.0,Low,Medium,Medium
Meatball soup,20.0,9.99,1.8,21.0,Low,Low,Medium
Pho,11.0,10.41,0.6,4.0,Low,Low,Medium
Pepperpot soup,18.0,3.1,0.3,17.0,Low,Low,Low
Eggs a la Malaguena,35.0,4.86,1.7,86.0,Low,Low,Medium
Scrambled egg sandwich,128.0,23.9,1.1,78.0,Low,Medium,Medium
Black bean salad,20.0,12.61,3.4,7.0,Low,Low,Low
Vermicelli,22.0,31.42,1.5,1.0,Medium,Low,Low
Garbanzo bean or chickpea soup,20.0,10.02,2.7,21.0,Low,Low,Low
Sandwich spread,29.0,15.7,1.8499999999999999,11.0,Medium,High,Low
Chestnuts,29.0,52.96,5.1,1.0,Medium,Low,Low
Soy nut butter,347.0,18.82,10.3,0.0,Medium,High,High
Trail mix with nuts,88.0,21.18,8.1,0.0,Low,High,High
Naan,64.0,50.23,5.2,2.0,Low,Medium,Medium
Zwieback toast,20.0,74.2,2.5,16.0,Medium,Medium,Medium
Cake,84.44827586206897,52.52379310344827,1.9103448275862072,50.724137931034484,High,Medium,Low
Fritter,51.333333333333336,33.513333333333335,1.7333333333333334,57.0,Medium,High,Medium
Tamale,31.75,25.5,2.25,1.5,Medium,Medium,Low
Milk 'n Cereal bar,410.0,72.05,0.4,188.0,High,Medium,Medium
Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),116.0,72.27,3.8,302.0,High,Medium,Medium
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),333.0,79.17,4.2,3.0,High,Medium,Low
Nutrition bar (Balance Original Bar),543.0,48.73,3.1,1496.0,High,Medium,High
Crackers,73.29411764705883,68.01607843137255,5.2254901960784315,6.0588235294117645,Medium,Medium,Medium
Bagel chips,24.0,66.36,4.1,0.0,Medium,Medium,Medium
Pasta,25.75,18.175,2.392307692307693,34.84615384615385,Low,Medium,Medium
Cornmeal mush,4.0,12.323333333333332,0.6,12.0,Low,Low,Low
Cream of wheat,146.14285714285714,14.302857142857144,0.5428571428571429,128.04761904761904,Low,Low,Low
Cereal (Post Great Grains Banana Nut Crunch),44.0,70.9,11.2,378.0,High,Medium,Medium
Cereal (General Mills Cheerios),357.0,73.2,10.1,990.0,Low,Medium,Medium
Cereal (Kashi Heart to Heart Honey Toasted Oat),41.0,78.69,13.7,189.0,High,Medium,Medium
Cereal (General Mills Oatmeal Crisp with Almonds),33.0,78.09,8.2,0.0,High,Medium,Medium
Burrito,121.14285714285714,18.851428571428567,1.4000000000000001,75.71428571428571,Low,Medium,Medium
Burrito with beans,165.66666666666666,22.69666666666667,3.0333333333333337,38.666666666666664,Low,Medium,Medium
Taco or tostada salad with chicken,83.0,16.21,2.8,31.0,Low,Medium,Medium
Taquito or flauta with cheese,252.0,33.09,4.6,86.0,Low,Medium,Medium
Pupusa,156.66666666666666,24.616666666666664,2.8333333333333335,36.666666666666664,Low,Medium,Medium
Egg roll,42.5,28.7175,2.2249999999999996,128.0,Medium,Medium,Medium
Cornmeal coconut dessert,14.0,27.66,2.3,1.0,High,High,Low
Gnocchi,96.0,13.174999999999999,0.6,93.5,Low,Medium,Medium
Cornmeal dressing with chicken or turkey and vegetables,101.0,19.15,1.2,394.0,Low,Medium,Medium
Macaroni or noodles with cheese and tomato,49.0,18.73,1.1,67.0,Low,Medium,Low
Pasta with tomato-based sauce and beans or lentils,36.0,20.94,3.0,11.0,Low,Low,Medium
Macaroni or pasta salad with cheese,98.0,21.77,1.3,45.0,Low,Medium,Medium
Flavored rice mixture,10.0,19.83,0.4,28.0,Low,Low,Low
Pasta with vegetable and cheese sauce,74.0,16.32,1.4,24.0,Low,Low,Low
Noodle soup with vegetables,18.0,13.83,1.4,30.0,Low,Low,Low
Fruit,10.5,15.495000000000001,2.0,6.0,Medium,Low,Low
Cherry pie filling,9.0,28.59,0.9,37.0,High,Low,Low
Ambrosia,24.0,16.16,2.3,7.0,Medium,Low,Low
Fruit salad,20.75,15.526666666666664,2.025,16.75,Medium,Medium,Low
Guacamole,12.0,8.45,6.5,7.0,Low,Medium,Low
Apple juice,52.25,11.397499999999999,0.25,0.25,Medium,Low,Low
Passion fruit juice,4.0,13.6,0.2,36.0,Medium,Low,Low
Mixed fruit yogurt dessert,28.0,16.23,0.4,5.0,Medium,Low,Low
Potato from Puerto Rican style stuffed pot roast,7.0,14.45,1.3,0.0,Low,Low,Low
Sweet potato tots,52.333333333333336,35.705000000000005,5.733333333333333,435.3333333333333,Medium,Medium,Low
Fried green tomatoes,29.0,21.56,1.3,23.0,Low,Medium,Low
Cabbage salad or coleslaw with pineapple,29.0,10.45,1.8,69.0,Medium,Medium,Low
Greek Salad,67.0,3.84,1.6,239.0,Low,Low,Low
Water Chesnut,6.0,19.22,3.9,0.0,Low,Low,Low
Bean salad,27.0,12.98,3.5,5.0,Low,Medium,Low
Vegetables,19.666666666666668,13.413333333333334,1.9000000000000001,232.66666666666666,Low,Low,Low
Broccoli and cauliflower,25.0,4.475,2.8,30.0,Low,Low,Low
Pea salad,27.0,10.56,2.7,72.0,Low,Medium,Low
Vegetable curry,21.0,8.72,1.8,65.0,Low,Medium,Low
Pickles,53.25,11.399999999999999,1.05,13.0,Medium,Low,Low
Cabbage with meat soup,13.0,3.93,0.8,32.0,Low,Low,Low
Mushroom with chicken soup,74.0,8.41,1.6,34.0,Low,Low,Low
Shav soup,29.0,4.03,0.4,88.0,Low,Low,Low
Vegetable rice soup,25.0,8.64,2.4,89.0,Low,Low,Low
Squash and corn,32.0,9.26,2.0,140.0,Low,Low,Low
Garlic sauce,40.0,3.36,0.2,616.0,Low,High,Low
Curry sauce,21.0,4.96,1.4,19.0,Low,Medium,Low
Soybean oil,0.0,0.0,0.0,0.0,Low,High,Low
Sunflower oil,0.0,0.0,0.0,0.0,Low,High,Low
Salad dressing,19.25,9.0775,0.0,10.25,Low,High,Low
Thousand Island dressing,18.333333333333332,22.656666666666666,1.7666666666666666,10.333333333333334,High,Medium,Low
Syrup,5.0,69.6,0.0,0.0,High,Low,Low
Strawberry drink syrup,0.0,65.1,0.0,0.0,High,Low,Low
Topping,41.666666666666664,64.27499999999999,1.8833333333333335,3.6666666666666665,High,Medium,Low
Marmalade,38.0,66.3,0.7,3.0,High,Low,Low
Coconut cream cake,19.0,47.27,1.2,29.0,High,Medium,Low
Kit Kat White,125.0,64.59,1.0,24.0,High,High,Medium
Baby Ruth,47.0,64.8,2.0,0.0,High,High,Medium
Nougat,74.33333333333333,82.23666666666666,2.533333333333333,16.0,High,Medium,Low
Coffee substitute,31.0,39.86,11.85,0.0,Low,Low,Low
Slush frozen drink,3.5,5.395,0.0,0.0,Medium,Low,Low
Apple juice beverage,3.0,5.1,0.0,0.0,Low,Low,Low
Whiskey and soda,4.0,0.0,0.0,0.0,Low,Low,Low
Vodka and cola,1.0,7.8,0.0,0.0,Medium,Low,Low
Vodka and water,2.0,0.0,0.0,0.0,Low,Low,Low
Gin fizz,4.0,2.22,0.0,0.0,Low,Low,Low
Brandy,0.0,0.0,0.0,0.0,Low,Low,Low
Red pepper,8.0,6.48,2.3,160.0,Low,Low,Low
Non-dairy milk,164.0,3.75,0.2,77.0,Low,Low,Low
Fruit smoothie,68.125,11.47875,1.25,14.125,Medium,Low,Low
Whipped topping,49.333333333333336,23.416666666666668,0.0,5.0,High,Medium,Low
Ice cream candy bar,252.0,30.9,0.6,48.0,High,High,Low
Alfredo sauce with meat,59.0,1.2,0.0,130.0,Low,Medium,Medium
Beef brisket,6.333333333333333,0.0,0.0,0.0,Low,Medium,High
Fat back,11.0,0.0,0.0,9.0,Low,High,Low
Beaver,22.0,0.0,0.0,0.0,Low,Medium,High
Turkey bacon,86.5,4.52,0.0,13.5,Low,High,High
Sweetbreads,4.0,0.0,0.0,0.0,Low,Low,High
Turkey or chicken and beef sausage,36.0,2.23,0.0,9.0,Low,High,High
Turkey ham,5.0,2.93,0.0,0.0,Low,Low,High
Anchovy,232.0,0.0,0.0,12.0,Low,Medium,High
Halibut,25.42105263157895,6.180526315789473,0.3263157894736842,40.68421052631579,Low,Low,High
Porgy,55.625,4.47,0.22499999999999998,30.125,Low,Medium,High
Ray,51.285714285714285,5.1085714285714285,0.2571428571428571,72.0,Low,Medium,High
Roe,108.0,2.4766666666666666,0.0,148.66666666666666,Low,Medium,High
Lobster,101.625,4.421250000000001,0.22499999999999998,4.625,Low,Low,High
Beef with tomato-based sauce,9.0,1.58,0.4,6.0,Low,Medium,High
Beef with mushroom sauce,20.0,1.84,0.1,6.0,Low,Medium,High
Lamb or mutton goulash,16.0,3.1,0.4,6.0,Low,Medium,Medium
Veal parmigiana,122.0,8.29,0.8,46.0,Low,Medium,High
Chicken curry with rice,16.0,15.08,1.0,29.0,Low,Low,Low
Seafood newburg,109.0,4.37,0.1,161.0,Low,High,Medium
Chili con carne with beans and rice,28.0,16.65,2.6,18.0,Low,Low,Medium
Beef and rice with mushroom sauce,21.0,15.54,0.4,6.0,Low,Medium,Medium
Ham or pork and potatoes with gravy,10.0,11.68,0.9,1.0,Low,Medium,Medium
Lamb or mutton and noodles with gravy,13.0,15.63,0.7,4.0,Low,Medium,Medium
Veal and noodles with cream or white sauce,42.0,14.48,0.6,41.0,Low,Medium,Medium
Salmon loaf,196.0,9.11,0.4,99.0,Low,Medium,High
Seafood souffle,92.0,5.49,0.1,121.0,Low,Medium,Medium
Fish and rice with cream sauce,41.0,15.75,0.2,40.0,Low,Low,Medium
Beef stew with potatoes and vegetables excluding carrots,14.0,8.47,1.25,4.0,Low,Low,Medium
Stuffed cabbage rolls with beef and rice,28.0,8.63,1.3,18.0,Low,Medium,Medium
Lamb or mutton stew with potatoes and vegetables excluding carrots,13.5,11.915,1.85,24.5,Low,Low,Medium
Chicken or turkey stew with potatoes and vegetables including carrots,22.0,8.45,1.5499999999999998,98.0,Low,Low,Medium
Pork hash,20.0,1.89,0.5,6.0,Low,Medium,Medium
Pork shish kabob with vegetables,19.0,5.0,0.9,9.0,Low,Medium,Medium
Chicken or turkey shish kabob with vegetables,17.0,5.0,0.9,12.0,Low,Low,Medium
Fish and vegetables excluding  carrots,20.0,4.38,0.9,9.0,Low,Medium,Medium
Pork barbecue sandwich or Sloppy Joe,56.0,30.55,0.8,5.0,High,Low,Medium
Chicken barbecue sandwich,104.0,26.04,1.1,5.0,Medium,Low,High
Fried seafood sandwich,123.0,23.75,1.2,41.0,Low,Medium,Medium
Corn dog,72.0,26.96,1.0,48.0,Medium,Medium,Medium
Sausage griddle cake sandwich,63.0,31.25,1.0,0.0,Medium,Medium,Medium
Sausage sandwich,109.0,25.16,1.1,14.0,Low,Medium,Medium
Chicken soup,37.0,7.2,1.1,69.0,Low,Low,Low
Chicken in cream sauce with noodles and vegetable,34.0,13.25,1.0,49.0,Low,Low,Medium
Chicken and vegetable entree with noodles and cream sauce,55.0,10.79,0.9,34.0,Low,Medium,Medium
Pork vegetable soup with potato,14.0,3.85,0.8,33.0,Low,Low,Medium
Chicken or turkey vegetable soup with potato and cheese,15.0,5.2,0.3,19.0,Low,Low,Low
Crab soup,45.666666666666664,2.54,0.5333333333333333,43.666666666666664,Low,Low,Low
Bean chips,36.0,53.18,10.1,1.0,Low,High,Medium
Soybean curd,201.33333333333334,6.246666666666666,1.5999999999999999,3.0,Low,Medium,Medium
Trail mix with chocolate,80.0,48.32,6.0,15.0,High,High,Medium
Crumpet,163.0,44.17,3.5,0.0,Low,Low,Medium
Corn flour patty or tart,67.0,41.18,3.0,0.0,Medium,Low,Low
Cake batter,96.5,40.905,0.8999999999999999,26.0,High,Medium,Low
Snack cake,128.0,67.0025,8.5,3.0,High,Medium,Low
Turnover or dumpling,9.2,41.846,1.36,12.4,High,Medium,Low
Cereal or granola bar (Kashi Crunchy),0.0,53.26,11.4,2.0,High,Medium,High
Cereal or granola bar (Quaker Granola Bites),41.0,66.27,5.7,2.0,High,Medium,Medium
Nutrition bar (South Beach Living High Protein Bar),322.0,38.4,7.3,391.0,High,Medium,High
Corn chips,135.2,56.903999999999996,3.9799999999999995,3.0,Low,High,Medium
Snack mix,65.5,69.225,4.55,0.5,Low,Medium,Medium
Long rice noodles,7.0,20.66,0.1,0.0,Low,Low,Low
Cereal (General Mills Lucky Charms Chocolate),357.0,84.4,5.3,505.0,High,Low,Medium
Cereal (General Mills Chex Corn),323.0,85.0,4.7,440.0,Medium,Low,Medium
Cereal (General Mills Fiber One Raisin Bran Clusters),182.0,83.4,17.9,0.0,High,Low,Medium
Cereal (Kashi GOLEAN Crunch Honey Almond Flax),75.0,66.9,15.0,1.0,High,Medium,High
Cereal (Quaker Oatmeal Squares),201.0,77.77,8.3,356.0,High,Low,Medium
Cereal (Kellogg's Special K Fruit & Yogurt),27.0,85.3,8.1,702.0,High,Low,Medium
Cereal (Post Golden Crisp),15.0,90.1,5.0,832.0,High,Low,Medium
Rice cereal with bananas,691.0,79.9,1.0,1.0,High,Low,Medium
Rice cereal with mixed fruit,17.0,17.1,1.0,1.0,Low,Low,Low
Burrito with meat and beans,146.0,20.11,2.85,48.0,Low,Medium,Medium
Burrito with chicken,207.75,17.0175,1.7,53.25,Low,Medium,Medium
Taco or tostada with meat,94.66666666666667,19.116666666666664,3.133333333333333,36.666666666666664,Low,Medium,Medium
Soft taco with chicken,119.33333333333333,20.05333333333333,1.8333333333333333,36.0,Low,Medium,Medium
Taco or tostada with chicken,103.0,19.405,2.7,48.0,Low,Medium,Medium
Soft taco with meat and beans,107.0,20.99,2.7,29.0,Low,Medium,Medium
Mexican casserole made with ground beef,111.0,16.0,2.35,37.0,Low,Medium,Medium
Nachos with meat,56.0,20.09,3.4,46.0,Low,Medium,Medium
Chimichanga with meat and sour cream,145.0,27.12,2.3,39.0,Low,Medium,Medium
Quesadilla,334.0,31.11,2.2,110.0,Low,Medium,Medium
Quesadilla with vegetables and chicken,287.0,29.17,2.1,96.0,Low,Medium,Medium
Taquito or flauta with chicken,104.0,33.63,2.9,30.0,Low,Medium,Medium
Pizza with extra meat and extra vegetables,163.66666666666666,24.83666666666667,1.9666666666666668,53.333333333333336,Low,Medium,Medium
Calzone,282.5,30.04,1.35,149.0,Low,Medium,High
Vegetable submarine sandwich,65.5,20.97,1.4,11.5,Low,Medium,Low
Biscuit with gravy,80.0,17.02,0.8,73.0,Low,Medium,Medium
Dressing with chicken or turkey and vegetables,99.0,20.94,1.4,345.0,Low,Medium,Medium
Dressing with meat and vegetables,93.0,20.33,1.3,54.0,Low,Medium,Medium
Lasagna with meat,127.2,13.656,1.42,52.6,Low,Medium,Medium
Macaroni or noodles with cheese and frankfurters or hot dogs,50.0,18.74,0.8,60.0,Low,Medium,Medium
Rice meal fritter,209.0,36.58,1.0,123.0,Low,Medium,Medium
Dirty rice,15.0,17.28,0.6,208.0,Low,Low,Medium
Sausage and french toast,108.0,18.7,0.7,47.0,Medium,Medium,Medium
Beef rice soup,13.0,10.08,0.6,54.0,Low,Low,Low
Sopa de Fideo Aguada,7.0,8.76,0.4,8.0,Low,Low,Low
Clementine,37.0,13.34,1.8,34.0,Medium,Low,Low
Prune,43.0,63.88,7.1,39.0,High,Low,Low
Pear nectar,5.0,15.76,0.6,0.0,High,Low,Low
Apple-cherry juice,7.0,11.2,0.3,1.0,Medium,Low,Low
Mango dessert,8.0,19.0,1.1,17.0,Medium,Low,Low
Apples and chicken,18.0,10.88,1.8,2.0,Medium,Low,Low
Plantain chips,9.0,63.84,3.5,69.0,Low,High,Low
Romaine lettuce,36.0,2.87,1.3,370.0,Low,Low,Low
Broccoli,49.8235294117647,6.1152941176470605,2.682352941176471,93.76470588235294,Low,Low,Low
Sun-dried tomatoes,110.0,55.76,12.3,44.0,High,Low,Medium
Vodka sauce with tomatoes and cream,30.0,3.44,1.3,71.0,Low,Medium,Low
Corn,6.041666666666667,16.320000000000004,1.9458333333333329,14.833333333333334,Low,Low,Low
Celery juice,40.0,2.97,1.6,22.0,Low,Low,Low
Cucumber salad,26.5,5.234999999999999,0.45,20.5,Low,Medium,Low
Okra,79.33333333333333,7.858333333333333,2.8000000000000003,33.166666666666664,Low,Low,Low
Spaghetti squash,21.0,6.26,1.4,17.0,Low,Low,Low
Fried cauliflower,32.0,21.68,1.6,4.0,Low,Medium,Low
Honey mustard dip,24.0,25.28,1.0,19.0,High,Medium,Low
Hot pepper sauce,12.0,0.8,0.6,82.0,Low,Low,Low
Fruit and vegetable smoothie,60.333333333333336,13.068333333333333,1.3666666666666665,74.16666666666667,Medium,Low,Low
Animal fat or drippings,5.0,0.0,0.0,0.0,Low,High,Low
Hollandaise sauce,54.0,1.8,0.0,525.0,Low,High,Medium
Vegetable oil,0.0,0.0,0.0,0.0,Low,High,Low
Bacon and tomato dressing,4.0,2.0,0.2,11.0,Low,High,Low
Vegan mayonnaise,0.0,16.0,0.0,0.0,Medium,Medium,Low
Chocolate dip,37.0,65.31,2.0,58.0,High,Medium,Low
Guava paste,3.0,72.56,1.1,4.0,High,Low,Low
Rolo,145.0,67.95,0.9,33.0,High,High,Medium
Kit Kat,125.0,64.59,1.0,24.0,High,High,Medium
Mexican chocolate,34.0,77.41,4.0,0.0,High,Medium,Low
Fun Fruits Creme Supremes,136.0,69.33,0.1,8.0,High,High,Low
Peanut Bar,112.0,51.12,3.9,18.0,High,High,Medium
Wax candy,2.0,32.4,0.0,0.0,High,Low,Low
Frozen coffee drink,62.75,13.167500000000002,0.03333333333333333,42.75,Medium,Low,Low
Tamarind drink,19.0,27.67,1.2,0.0,High,Low,Low
Fruit juice drink (Sunny D),3.0,13.16,0.1,5.0,Medium,Low,Low
Cocktail,1.0,7.8,0.0,0.0,Medium,Low,Low
Mint julep,0.0,5.75,0.0,0.0,Medium,Low,Low
Salty Dog,12.0,5.68,0.2,1.0,Medium,Low,Low
Whiskey sour,2.0,16.11,0.0,0.0,High,Low,Low
Rum and cola,1.0,7.8,0.0,0.0,Medium,Low,Low
Vodka and tonic,1.0,6.57,0.0,0.0,Medium,Low,Low
Champagne punch,8.0,12.22,0.1,0.0,Medium,Low,Low
Whiskey,0.0,0.0,0.0,0.0,Low,Low,Low
Energy drink (Monster),0.0,11.28,0.0,0.0,Medium,Low,Low
Energy drink (Rockstar),1.0,12.7,0.0,0.0,Medium,Low,Low
Breakfast meat as ingredient in omelet,15.0,1.61,0.0,14.0,Low,Medium,High
Vegetable dip,82.33333333333333,6.826666666666667,0.3,63.0,Low,High,Low
Coffee creamer,3.6923076923076925,36.07923076923077,0.1769230769230769,0.38461538461538464,High,Medium,Low
Sour cream,92.5,8.49,0.0,71.75,Low,Medium,Low
Light ice cream sandwich,116.0,37.56,1.25,68.5,High,Medium,Low
Topping from cheese pizza,485.0,7.62,1.0,156.0,Low,Medium,High
Meat,24.0,0.63,0.0,2.0,Low,Medium,High
Ground beef patty,27.0,0.0,0.0,3.0,Low,Medium,High
Mock chicken legs,22.0,5.27,0.2,3.0,Low,Medium,High
Moose,6.0,0.0,0.0,0.0,Low,Low,High
Bear,5.0,0.0,0.0,0.0,Low,Medium,High
Ostrich,8.0,0.0,0.0,0.0,Low,Medium,High
Chicken wing,27.857142857142858,3.988571428571429,0.10714285714285714,16.928571428571427,Low,Medium,High
Cornish game hen,13.0,0.0,0.0,26.0,Low,Medium,High
Pheasant,16.0,0.0,0.0,57.0,Low,Medium,High
Salmon,34.23809523809524,5.591904761904762,0.29523809523809524,53.80952380952381,Low,Medium,High
Tuna,17.0,2.7630769230769228,0.13846153846153844,23.153846153846153,Low,Low,High
Frog legs,35.5,5.105,0.3,22.5,Low,Medium,High
Turtle,141.0,0.09,0.0,32.0,Low,Low,High
Mussels,43.333333333333336,6.13,0.0,73.33333333333333,Low,Low,High
Chili con carne,49.0,9.879999999999999,2.75,27.0,Low,Low,Medium
Ham or pork with mushroom sauce,28.0,1.84,0.1,8.0,Low,Medium,High
Pork stew,15.0,4.195,0.6,4.0,Low,Low,Medium
Chicken or turkey fricassee,13.333333333333334,2.013333333333333,0.26666666666666666,7.333333333333333,Low,Medium,High
Chicken or turkey with cream sauce,46.0,2.74,0.0,46.0,Low,Medium,High
Chicken or turkey with teriyaki,16.0,1.62,0.0,8.0,Low,Medium,High
Mussels with tomato-based sauce,30.0,5.02,0.4,49.0,Low,Low,Medium
Spaghetti sauce with meat and added vegetables,24.0,6.04,1.4,28.0,Low,Low,Medium
Beef and noodles,16.0,16.24,0.8,20.0,Low,Medium,Medium
Beef and rice with cheese sauce,33.0,14.64,0.4,15.0,Low,Medium,Medium
Stuffed pork roast,17.0,1.92,0.5,6.0,Low,Medium,High
Chicken or turkey and rice with soy-based sauce,20.0,8.11,0.5,6.0,Low,Medium,Medium
Chicken or turkey with dumplings,50.0,7.95,0.3,10.0,Low,Medium,High
Shrimp creole,73.5,8.195,0.9,69.0,Low,Low,Medium
Biscayne codfish,23.0,11.08,1.9,12.0,Low,Medium,Medium
Gumbo with rice,26.0,6.54,0.9,10.0,Low,Low,Medium
Jambalaya with meat and rice,24.0,8.64,0.7,8.0,Low,Medium,Medium
Hunan beef,22.0,7.29,1.5,63.0,Low,Medium,Medium
Beef taco filling: beef,130.0,6.33,0.9,69.0,Low,Medium,Medium
Moo Shu pork,45.0,4.04,0.9,71.0,Low,Medium,Medium
Almond chicken,36.0,4.69,1.2,19.0,Low,Medium,High
Chicken or turkey garden salad,27.5,2.625,0.95,142.5,Low,Low,Medium
Cheeseburger submarine sandwich with lettuce,183.0,21.49,1.2,12.0,Low,Medium,Medium
Whopper (Burger King),46.0,17.33,1.5,9.0,Low,Medium,Medium
Buffalo chicken submarine sandwich,138.0,19.12,1.1,9.0,Low,Medium,Medium
Pig in a blanket,70.0,19.32,0.7,2.0,Low,High,Medium
Beef and egg noodles,9.0,7.739999999999999,1.2,34.333333333333336,Low,Low,Low
Flounder with chopped broccoli,73.0,5.3,0.7,18.0,Low,Low,Medium
Oxtail soup,11.0,1.35,0.3,35.0,Low,Low,Medium
Beef and rice soup,14.0,6.23,0.9,20.0,Low,Low,Medium
Beef stroganoff soup,20.0,9.0,0.6,84.0,Low,Low,Medium
Bird's nest soup,6.0,3.03,0.0,1.0,Low,Low,Medium
Seafood soup with potatoes,29.0,3.9,0.7,12.0,Low,Low,Low
Pork and beans,39.0,21.57,4.4,1.0,Medium,Low,Low
Falafel,86.0,29.01,4.8,12.0,Low,High,Medium
Bean soup,35.25,10.25,2.65,20.5,Low,Low,Low
Tofu and vegetables including carrots,66.0,4.81,1.2,125.0,Low,Medium,Low
Almonds,233.1,30.538000000000004,9.059999999999999,1.9,High,High,High
Coconut,12.5,33.54,9.45,0.0,High,High,Low
Sesame seeds,60.0,11.73,11.6,3.0,Low,High,High
Mixed seeds,66.0,21.73,10.0,0.0,Low,High,High
Roll,131.05405405405406,49.04648648648648,3.043243243243243,11.08108108108108,Medium,Medium,Medium
Biscuit,100.16666666666667,43.62833333333333,2.65,40.5,Low,Medium,Medium
Dessert pizza,21.0,32.31,1.7,15.0,High,Medium,Low
Pie shell,27.333333333333332,61.673333333333325,2.6333333333333333,0.0,High,High,Medium
Basbousa,113.0,44.07,0.5,13.0,High,Medium,Low
Doughnut,60.25,49.3775,2.066666666666667,3.75,High,High,Medium
Churros,110.0,48.87,2.6,5.0,High,High,Medium
Dumpling,52.4,22.596,1.0399999999999998,8.8,Low,Medium,Medium
Whole wheat cereal,9.0,10.270000000000001,1.3,10.666666666666666,Low,Low,Low
Cereal (Post Raisin Bran),44.0,78.9,13.7,380.0,High,Low,Medium
Cereal (General Mills Chex Wheat),213.0,82.2,12.2,317.0,Medium,Low,Medium
Mixed cereal,800.0,78.21,6.7,0.0,High,Medium,Medium
Enchilada,168.66666666666666,11.496666666666668,2.3333333333333335,54.666666666666664,Low,Medium,Medium
Tamale with chicken,52.0,14.8,1.2,2.0,Low,Medium,Medium
Nachos with cheese and sour cream,172.0,21.75,3.9,76.0,Low,Medium,Medium
Nachos with chili,206.0,22.98,3.0,79.0,Low,Medium,Medium
Quesadilla with chicken,278.5,26.52,1.85,82.0,Low,Medium,Medium
Tamal in a leaf,25.0,11.46,1.5,34.0,Medium,Medium,Medium
Vegetables in pastry,82.0,21.1,3.1,28.0,Low,High,Medium
Flavored pasta,6.0,14.45,0.4,19.0,Low,Low,Low
